What gender do you identify as?,What is your race/ethnicity? (Check all that apply),What is your year at New College?,"What is your Area of Concentration? (If not yet declared, put ""Undeclared"")",Which math classes have you taken at New College? (Check all that apply),"Are you considering, or did you ever consider a concentration in Math?",Are you interested in graduate school (in any discipline)?,"""I find mathematics interesting""","""Mathematics leads to many possible career opportunities""","""With practice, it is easy for me to improve my skills in math""","""Men are generally better suited to mathematics than women""","""Many people believe that men are better suited to mathematics than women""","""Some racial/ethnic groups are generally better suited to mathematics than others""","""Many people believe that some racial/ethnic groups are better suited to mathematics than others""",... compared to your high school student population?,... compared to the student population at New College?,... compared to your social group?,... compared to other students of your gender?,... compared to other students of your racial/ethnic group?,"Imagine the following scenario: in the first few weeks of a math class, you have had difficulty understanding the material and completing some of the assignments. How likely are you to drop the class?",Have you ever dropped or stopped attending a math class because you believed you were not going to do well?,"Compared to other subjects, do you feel more or less anxiety in mathematics classes?",How often are you concerned that your performance in math will confirm a negative stereotype about you?,Think about a typical math course you have taken at New College or imagine taking one. Did/do you feel comfortable or out of place?,Have you ever felt that you were perceived or treated differently in a math class due to your gender? ,Have you ever felt that you were perceived or treated differently in a math class due to your race or ethnicity? ,Are there any comments or thoughts you would like to add?
Female,"Asian, White",Third Year,Chemistry,"Calc I, Calc II",No,Yes,Neutral,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Above average,Below average,Well below average,Above average,Below average,Somewhat unlikely,No,Much more anxiety,Sometimes,Somewhat comfortable,No,"Yes, but not at New College",
Female,White,First Year,Biochem/comp sci,No math courses at New College,Yes,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Well above average,Average,Average,Above average,Above average,Very unlikely,No,Much less anxiety,Often,Very comfortable,"Yes, but not at New College",No,
Female,"Hispanic or Latino, White",Second Year,Undeclared,"Calc I, Calc II",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Average,Average,Average,Very unlikely,No,About the same,Sometimes,Very out of place,No,No,
Female,"Hispanic or Latino, White",Second Year,Biopsych / comp sci,Additional math courses not listed,No,Yes,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Above average,Average,Above average,Above average,Above average,Somewhat unlikely,No,A little less anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College",No,Very cool that you all put this survey together... 
Female,"Hispanic or Latino, White",Third Year,Humanities ,No math courses at New College,No,Yes,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Average,Below average,Well below average,Average,Average,Very likely,No,Much more anxiety,Rarely,Very out of place,No,No,
Female,White,First Year,Marine Biology,Additional math courses not listed,Yes,Yes,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Well above average,Average,Well above average,Above average,Average,Somewhat unlikely,No,Much more anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College",
Female,White,Third Year,Psychology,No math courses at New College,No,Yes,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Average,Below average,Below average,Below average,Below average,Neutral,No,Much more anxiety,Never,Very out of place,No,No,
Female,"Asian, Black or African American",Fourth Year,humanities,"Mathematics for the sciences, Discrete Math",No,Maybe,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Average,Very likely,Yes,Much more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College","Yes, but not at New College",
Male,Asian,Second Year,Marine biology,"Mathematics for the sciences, Calc I",No,Yes,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Well above average,Average,Average,Average,Well below average,Somewhat unlikely,No,A little less anxiety,Sometimes,Neutral,No,"Yes, but not at New College",
Female,White,Fourth Year,Economics,No math courses at New College,Yes,Maybe,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Average,Below average,Average,Average,Average,Very unlikely,No,A little more anxiety,Never,Somewhat comfortable,No,No,
Female,White,Fourth Year,biopsych,Calc I,No,Yes,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Above average,Average,Average,Average,Average,Very unlikely,No,About the same,Never,Somewhat comfortable,"Yes, but not at New College",No,teaching style has influenced my love of math the most
Male,White,Third Year,Mathematics,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Well above average,Above average,Average,Above average,Above average,Somewhat unlikely,Yes,A little less anxiety,Rarely,Very comfortable,No,No,
Female,"Black or African American, Hispanic or Latino",Second Year,English and Political Science,No math courses at New College,No,Yes,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Above average,Below average,Below average,Below average,Average,Very likely,Yes,Much more anxiety,Sometimes,Somewhat out of place,No,No,
Transgender,White,Third Year,Chemistry,"Calc I, Calc II, Calc III",No,Yes,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Above average,Above average,Above average,Average,Average,Neutral,No,A little more anxiety,Rarely,Somewhat comfortable,"Yes, but not at New College",No,
Female,White,First Year,Marine Biology,No math courses at New College,No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Well above average,Above average,Well above average,Average,Well above average,Somewhat unlikely,No,Much less anxiety,Rarely,Very comfortable,No,No,
Female,White,Second Year,Marine Biology,Calc II,No,Maybe,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Well above average,Below average,Below average,Above average,Above average,Somewhat unlikely,No,Much more anxiety,Never,Very out of place,No,No,
Male,White,Second Year,Undeclared,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Below average,Average,Average,Very unlikely,No,About the same,Never,Very comfortable,No,No,
Female,White,First Year,Philosophy,No math courses at New College,Yes,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Above average,Average,Well above average,Above average,Average,Neutral,No,A little more anxiety,Never,Somewhat out of place,No,No,
Female,White,Third Year,sociology,No math courses at New College,No,Yes,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Above average,Average,Average,Somewhat likely,Yes,A little more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Female,White,Fourth Year,Marine Biology,"Calc I, Additional math courses not listed",No,No,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Agree,Above average,Average,Average,Average,Average,Somewhat likely,Yes,Much more anxiety,Never,Somewhat out of place,No,No,
Female,White,First Year,Psychology,No math courses at New College,No,Maybe,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Average,Below average,Below average,Very likely,No,About the same,Sometimes,Somewhat out of place,No,No,
Male,White,Third Year,Math,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Well above average,Well above average,Well above average,Well above average,Very unlikely,No,A little less anxiety,Rarely,Very comfortable,No,No,
Female,White,Third Year,Biology/Chemistry,"Mathematics for the sciences, Calc I",No,Yes,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Well below average,Below average,Below average,Below average,Neutral,No,Much more anxiety,Never,Somewhat comfortable,"Yes, at New College and possibly elsewhere",No,
Male,White,First Year,Math,"Calc I, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Above average,Well above average,Above average,Above average,Very unlikely,No,Much less anxiety,Never,Somewhat comfortable,No,No,
Male,White,Fourth Year,Mathematics,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Average,Well above average,Above average,Well above average,Well above average,Somewhat unlikely,No,Much less anxiety,Never,Very comfortable,No,No,
Male,White,First Year,undeclared,Additional math courses not listed,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Above average,Well above average,Well above average,Well above average,Very unlikely,No,A little less anxiety,Never,Somewhat out of place,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",
Male,White,Third Year,Mathematics (and possibly Economics),"Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Above average,Average,Above average,Above average,Somewhat unlikely,No,About the same,Sometimes,Very comfortable,"Yes, but not at New College",No,
Female,White,Third Year,Biology,"Mathematics for the sciences, Calc I",No,Yes,Disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Below average,Average,Average,Very unlikely,No,Much more anxiety,Rarely,Somewhat out of place,No,No,
Female,White,Third Year,psychology,Additional math courses not listed,No,Yes,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Average,Average,Average,Very unlikely,No,About the same,Sometimes,Somewhat comfortable,No,No,
Male,Asian,Third Year,Physics Math,"Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Well above average,Well above average,Above average,Above average,Above average,Very unlikely,No,Much less anxiety,Often,Very comfortable,No,"Yes, but not at New College",I generally think that the math department here are quite good about gender and race diversity and respectful. 
Female,Asian,Fourth Year,General Studies,No math courses at New College,No,Yes,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Above average,Average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Often,Somewhat comfortable,No,"Yes, but not at New College",
Female,Hispanic or Latino,Fifth or more,Economics ,"Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Below average,Below average,Average,Below average,Below average,Very likely,Yes,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Female,"Asian, Black or African American",Second Year,undeclared ,"Mathematics for the sciences, Additional math courses not listed",No,Yes,Agree,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Above average,Average,Average,Average,Above average,Somewhat unlikely,No,Much more anxiety,Often,Somewhat out of place,"Yes, at New College and possibly elsewhere","Yes, but not at New College",
Male,White,Fourth Year,Physics and Mathematics,"Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Well above average,Well above average,Above average,Well above average,Well above average,Very unlikely,No,Much less anxiety,Never,Somewhat comfortable,No,No,
Female,"Asian, Black or African American",Second Year,Conputer Science,"Discrete Math, Linear Algebra",No,Yes,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,A little less anxiety,Sometimes,Somewhat comfortable,No,"Yes, but not at New College",
Female,Hispanic or Latino,First Year,biology,Calc I,No,Yes,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Above average,Average,Above average,Above average,Average,Very unlikely,No,A little more anxiety,Never,Somewhat comfortable,No,No,not really
Female,White,First Year,economics,Mathematics for the sciences,No,Yes,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Below average,Below average,Average,Average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,No,No,
Female,White,First Year,Undeclared,No math courses at New College,No,Yes,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Average,Below average,Average,Average,Somewhat unlikely,No,About the same,Sometimes,Very comfortable,"Yes, but not at New College",No,
Female,White,Third Year,Russian,No math courses at New College,No,Maybe,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Below average,Below average,Below average,Very likely,No,Much more anxiety,Sometimes,Very comfortable,"Yes, but not at New College",No,
Female,Hispanic or Latino,Fifth or more,Data science,"Additional math courses not listed, No math courses at New College",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Above average,Above average,Above average,Above average,Well above average,Somewhat unlikely,Yes,About the same,Sometimes,Very comfortable,"Yes, at New College and possibly elsewhere",No,
Male,White,Third Year,CS/Applied Math,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Maybe,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Well above average,Above average,Average,Above average,Above average,Very unlikely,No,Much less anxiety,Never,Somewhat comfortable,No,No,
Male,White,Third Year,Physics and Computer Science,No math courses at New College,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Below average,Well above average,Average,Below average,Very unlikely,No,A little less anxiety,Never,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College","In general, it has been my experience, as well as my significant other's (female), that women are treated as less capable in STEM classes, and are often objectified instead of being considered for their academic capabilities; however, my best professors in STEM happen to have all been female; this is not to say my male professors were not as capable, but my female professors exuded a confidence only gained through years of 'fighting upstream.' Additionally, it has been my experience that diversity in all fields is extremely conducive to problem solving, as each perspective contributes a unique part of the solution. As the world has progressed, all modern STEM problems are of a level of complexity that requires significant human collaboration, and this collaboration is greatly benefitted by increased diversity."
genderfluid,White,First Year,Art History,No math courses at New College,No,Maybe,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Average,Below average,Below average,Average,Below average,Somewhat unlikely,No,Much more anxiety,Rarely,Somewhat out of place,No,No,
I do not wish to declare my gender,I do not wish to declare my race/ethnicity,First Year,Mathematics / Computer Science,"Calc I, Discrete Math",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,Much less anxiety,Never,Very comfortable,No,No,"I am not sure who this message will be read by, but I hope it falls into the right hands. I am only doing this in this manner because I have the guarantee of privacy, as per the rules of the survey, and because you asked for honest feedback.

Before the main body of this writing, I wish to stress that I am writing this out of a genuine desire to see New College be one of the most open and highest-achieving colleges in the state of Florida. I want education of flourish, ideas to foster, and people to positively transform themselves. I am writing this to address a barrier to successfully achieving this goal, in the hopes that these words can have an overall beneficial effect on the New College community.

==On Diversity, and How It Has Been Misinterpreted==
A response to the Diversity and Mathematics Survey

--1) Sapere Aude--

While well-intentioned, this survey is an example of a problem that I see occurring throughout certain facets of society in recent years. Yes, it is true that there are more men than women working in STEM, and yes, it is true that there are more whites and Asians working in STEM than other ethnic groups, but to chock this up entirely to discrimination seems excessive. People have become obsessed with the idea that crypto-racism and crypto-sexism are the driving forces behind modern Western nations, which couldn't be further from the truth.

To be blunt, Western culture is one of the least discriminatory cultures on Earth. Obviously, discrimination in Western countries still exists, I will never deny that (in fact, it will never be fully eliminated anywhere), but compared to many other locales, the West is characterized by being much more accepting of different perspectives, religions, creeds, races, LGBT people, et cetera. So to claim that the West does not, in fact, support diverse groups of people is a very serious accusation, and one that would need to have strong evidence supporting it.

If you read my responses to the questions, you will see that I refused to specify my gender and ethnicity. That is because those should not be factors in considering my arguments. I could be anyone, because everyone should believe this.

--2) Beantwortung der Frage: Was ist Aufklärung?--

My ideals are Enlightenment ideals, the very ones modern Western society is founded upon. These ideals are Liberty, Progress, Tolerance, and Fraternity.

Liberty is the lack of arbitrary restrains on individuals. Progress is the ability of people to improve their own lives. Tolerance is the acceptance of others despite being able to not do so. Fraternity is solidarity between people.

These are the ideals that, as previously stated, modern Western society is founded upon. And yet, some people still believe that these are not, in fact, the ideals that we cherish, and that groups of people are actively held back in their advancement. I will give you that, yes, this was true at one point, but I strongly believe that we are past that. I shall now deconstruct arguments that there is an active push to hold back certain groups from achieving success, and show that the full picture is one of fearmongering.

--3) A Vindication of the Rights of Woman--

Most people are aware that men and women are equally capable in mathematics; it is rather unpopular to claim otherwise. Men and women are both seen as being capable of accomplishing many of the same tasks by the majority of Western society, because, while we have a past of preventing women from holding the same positions as men, Western society has evolved past this point, and treats men and women on the same intellectual footing.

So if women have the same intellectual capabilities as men, why are there fewer women in STEM? Surely, if men and women are in a roughly 1:1 ratio, then there should be a roughly 1:1 ratio of men to women in STEM fields, and yet there is not. In the United States, roughly 25% of STEM workers are women, and this is after promotion of women in STEM had began. On the surface, this is incredibly unexpected, but there is an explanation.

Mathematical ability can be developed regardless of if your sex, so to claim that men are better at mathematics than women is incorrect. However, it is true that, on average, men have more interest in mathematics than women. I would like to stress that this is not stating that ""all men are more interested in mathematics"" or ""no woman is interested in mathematics."" This is merely a statement that, *ON AVERAGE*, men are more interested in mathematics than women. To force women who happen to not be interested in STEM into the field is counterproductive.

But, if women are not interested in STEM, the obvious question is why. The answer lies in the fact that, *ON AVERAGE*, male and female personalities are dimorphic. The factor most relevant to the STEM question is the dichotomy between empathizing and systemizing. *ON AVERAGE* females tend to have personalities tailored to empathizing, and *ON AVERAGE* males tend to have personalities tailored to systemizing. Since STEM is almost entirely based around rigorous systems, of course men would be more likely to be a part of STEM. I would also like to stress that, between empathizing and systemizing, neither is superior to the other; they are merely different personality types. Do not interpret this as me saying that women are inferior because they are empathetic, or that men are superior because they can naturally systemize.

Despite this, many people claim that women are not interested in STEM because they have what some refer to as ""internalized misogyny,"" which is the idea that they have been made subservient by ""the Patriarchy."" Of course, this is just narrative-pushing. If anything, women who enter STEM because they feel that they are ""supposed to,"" despite not wanting to, are the real victims here. Women who do not want to participate in STEM fields should never feel ashamed that they are not interested in them.

--4) !ke e: ?xarra ?ke--

This survey gives the implication that there is a sizeable portion of people who believe that, as the survey put it, ""some racial/ethnic groups are generally better suited to mathematics than others."" To claim this is true is outright racism. No ethnic group is overtly superior to any other group, and no ethnic group is overtly inferior to any other. Any discrepancies in standardized test scores between ethnic groups can easily be attributed to other factors, mostly economic in nature, such as a lack of quality education in low-income neighborhoods. Anyone seriously claiming that one race is inherently better/worse than another is racist, plain and simple.

So how does this answer the question of ethnic minorities in STEM? As mentioned earlier, the reason there are fewer minorities is that, *ON AVERAGE*, ethnic minorities are economically worse off than whites (and, in recent years, Asians). This is not, as some claim, because there is a concerned effort to impoverish minorities. Rather, it has to do with the fact that, historically, ethnic minorities were treated as second-class citizens, with the most extreme case being the enslavement of African-Americans. However, despite the fact that minorities have legally been elevated to the same standing as whites, the economic impact of their prior status is readily apparent. Many are stuck in low-income neighborhoods, and do not have access to the level of education necessary to succeed in STEM.

My issue is that people look at the large concentrations of minorities that are not in STEM and assume that it is because they are blocked from entering the field by racism. If this were true, the entire STEM field would be under intense scrutiny, as we live in a society where being a bigot is one of the worst things you can be (as it should be). The truth is that, if you want more minorities in STEM, you would have to elevate the economic status of the many minority people who are trapped in an economic hell, and that is no easy feat.

As a side note, also take into account the key word: ""minority."" There will always be fewer minorities in STEM, because there are less of them in general. If there weren't, they wouldn't be minorities. Keep this in mind.

--5) ??????? ???????? ? ????????? ??? ????????? ??????????? ???????? ????????? ?????? ??????? ???? ?????? ??????? ??? ?????? ??????????? ?????????? --

The general response by businesses in the STEM field to these deficiencies in hiring has been to establish ""diversity quotas."" These quotas look for certain ratios of groups of people in the workplace, and people can be denied a position merely for being the wrong kind of person. This reduction of people to token characteristics, aside from being the definition of discrimination, is completely antithetical to the principle of hiring the best possible applicants for the job.

You might be wondering why I care so much about this issue. The reason is that it is taboo to discuss it. Whenever anyone brings up an issue like this and goes against the narrative, they are shut down, at best. Another possible scenario is being fired, which has been documented to occur. The most notable recent incident has been the firing of James Damore from Google for publishing an internal memo criticizing how Google only cared about the appearance of diversity, manifested in tokenism, but did not care about diversity of thought. In response to him publishing the memo, he was fired, completely justifying his comments that Google has created an echo chamber.

The only reason I feel safe in publishing this is because this is an anonymous survey, and others cannot see who I am. If I did not have the guarantee of privacy, I would fear retribution, not by the administration, but by other students.

I strongly feel that Enlightenment values are at risk of becoming obsolete. If this were true, we would have a culture run by irrationality, by fear, by blind faith in leaders, and by antidemocracy. These go against the core beliefs of New College's philosophy.

--6) ??--

I want New College to be an environment where free discussion can foster, not a place where the opposition lives in fear.

I want the oppressors of open thought to be combated, and for the silent to have a voice.

I want people to be treated as individuals, not reduced to exploitable labels.

I want the personal choices of individuals not be dictated by what they are ""supposed to do"" in order to give an illusion of progress that is perverted beyond repair.

I want people to recognize that Enlightenment values are at the core of our society, and to practice them.

I want normalcy."
Female,Hispanic or Latino,Fourth Year,Psychology,Additional math courses not listed,No,Yes,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Below average,Average,Below average,Somewhat likely,No,Much more anxiety,Often,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College",
im not sure ,Hispanic or Latino,First Year,Undeclared,Discrete Math,No,Maybe,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Below average,Below average,Average,Below average,Below average,Very unlikely,No,Much more anxiety,Often,Very out of place,"Yes, but not at New College","Yes, but not at New College",
Female,White,Third Year,International Studies and Economics,"Mathematics for the sciences, Calc I",No,Yes,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Average,Average,Average,Somewhat unlikely,No,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Male,White,Second Year,Biochemistry,"Calc II, Calc III",No,Yes,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Well above average,Above average,Well above average,Well above average,Well above average,Very unlikely,No,About the same,Never,Very comfortable,No,No,
Female,White,Third Year,History,No math courses at New College,No,Yes,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Sometimes,Somewhat out of place,No,No,"I don't know why this question is necessary: ""How would you rate your mathematical ability compared to other students of your gender or racial/ethnic identity."""
Male,"Asian, Black or African American, Hispanic or Latino",Fourth Year,Mathematics,"Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Above average,Below average,Average,Average,Somewhat unlikely,Yes,Much more anxiety,Often,Somewhat out of place,No,"Yes, but not at New College","New College's Mathematics Department is generally considered to be the most rigorous and challenging department on campus. Many students drop mathematics because of the workload, demanding coursework, and perceived expectations of their professors. I hope that we can build a more encouraging community. Many students of math at New College suffer emotionally."
Female,White,Fourth Year,Philosophy,No math courses at New College,No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Average,Average,Average,Somewhat unlikely,No,A little more anxiety,Sometimes,Neutral,"Yes, but not at New College",No,
Female,"Asian, Native Hawaiian or Other Pacific Islander, White",Third Year,Biology,"Mathematics for the sciences, Calc I",No,Yes,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Above average,Average,Below average,Very unlikely,Yes,A little more anxiety,Never,Somewhat out of place,No,No,"New College, although has a high concentration with substantial high school math background, has pushed me to become better at Math and be less scared of spending extra time on material I dont understand. The QRC has helped me so much with understanding math both conceptually and in practice, which I didn't get before coming to this school."
Female,White,Second Year,Biology,Calc I,No,Yes,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Above average,Average,Average,Somewhat unlikely,No,Much more anxiety,Rarely,Somewhat out of place,No,No,
non-binary ,White,Third Year,Sociology and Gender Studies ,Mathematics for the sciences,No,Yes,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Below average,Average,Average,Below average,Very unlikely,No,A little more anxiety,Rarely,Somewhat out of place,"Yes, but not at New College","Yes, but not at New College",I think it's important for professors to be cognizant of implicit biases and messages students may have internalized--they should practice ways of amplifying the voices that are historically left out of classroom discussions. 
Female,"Hispanic or Latino, White",Second Year,Marine biology,"Mathematics for the sciences, Calc I",No,Yes,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Average,Very unlikely,No,About the same,Often,Neutral,"Yes, at New College and possibly elsewhere",No,
Male,White,Third Year,Math,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Well above average,Above average,Above average,Above average,Above average,Very unlikely,No,A little less anxiety,Never,Somewhat comfortable,No,No,
Female,White,Third Year,Physics and Applied Mathematics,"Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Well above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,Much less anxiety,Never,Very comfortable,No,No,
Female,White,Third Year,Computer Science,"Discrete Math, Additional math courses not listed",No,Maybe,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Above average,Average,Below average,Somewhat likely,Yes,About the same,Sometimes,Somewhat comfortable,"Yes, but not at New College",No,
Male,White,First Year,Computer Science,Discrete Math,No,Yes,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Average,Average,Average,Very unlikely,No,A little less anxiety,Never,Neutral,No,No,
Trans,White,Third Year,Sociology,Additional math courses not listed,No,Yes,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Above average,Well below average,Average,Below average,Below average,Somewhat likely,Yes,Much more anxiety,Often,Very comfortable,"Yes, but not at New College",No,
Female,Hispanic or Latino,First Year,Ethnomusicology,No math courses at New College,Yes,Maybe,Neutral,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Below average,Average,Average,Average,Somewhat likely,Yes,About the same,Often,Somewhat out of place,"Yes, but not at New College","Yes, but not at New College",
Male,White,Fourth Year,Computer Science,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Maybe,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Above average,Above average,Above average,Above average,Somewhat unlikely,No,A little more anxiety,Never,Somewhat comfortable,No,No,
Female,White,Third Year,Environmental Studies,Calc I,No,Yes,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Average,Below average,Average,Below average,Below average,Somewhat likely,No,A little more anxiety,Sometimes,Very out of place,No,No,
Male,White,Second Year,Math,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Well above average,Above average,Well above average,Above average,Above average,Neutral,No,About the same,Rarely,Very comfortable,No,No,
Yes,White,Fourth Year,Religion,No math courses at New College,No,Yes,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Average,Below average,Average,Average,Average,Somewhat likely,Yes,A little more anxiety,Rarely,Neutral,No,No,"Inclusion of cultural groups for bias questions might improve the survey, as I could imagine a distinction between perceptions of the common ethnic group of an area and the cultural relation to math in that area, common stereotype would be ""People raised in Asia are better at math."" For example."
